deal_num,side,lot,price
195,sell,0.03,2660.08
196,buy,0.03,2652.73
197,sell,0.03,2652.26
198,buy,0.03,2645.38
199,sell,0.03,2648.46
200,buy,0.03,2634.2
201,sell,0.03,2615.01
202,buy,0.03,2646.8
203,sell,0.03,2655.17
204,buy,0.03,2650.0
205,sell,0.03,2654.53
206,buy,0.03,2721.43
207,sell,0.03,2728.16
208,buy,0.03,2739.17
209,sell,0.03,2709.17
210,buy,0.03,2728.16
211,sell,0.03,2739.04
212,buy,0.03,2774.87
213,sell,0.03,2744.87
214,buy,0.03,2749.61
215,sell,0.03,2740.81
216,buy,0.03,2687.15
217,sell,0.03,2694.86
218,buy,0.03,2685.58
219,sell,0.03,2655.58
220,buy,0.03,2596.31
221,sell,0.03,2566.31
222,buy,0.03,2559.95
223,sell,0.03,2569.07
224,buy,0.03,2563.16
225,sell,0.03,2574.05
226,buy,0.03,2626.36
227,sell,0.03,2635.7
228,buy,0.03,2622.79
229,sell,0.03,2646.47
230,buy,0.03,2648.66
231,sell,0.03,2643.2
232,buy,0.03,2636.07
233,sell,0.03,2641.64
234,buy,0.03,2641.0
235,sell,0.03,2645.72
236,buy,0.03,2638.87
237,sell,0.03,2646.25
238,buy,0.03,2646.61
239,sell,0.03,2649.01
240,buy,0.03,2647.65
241,sell,0.03,2617.65
242,buy,0.03,2635.0
243,sell,0.03,2642.74
244,buy,0.03,2710.85
245,sell,0.03,2680.85
246,buy,0.03,2644.03
247,sell,0.03,2647.92
248,buy,0.03,2644.08
249,sell,0.03,2614.08
250,buy,0.03,2608.6
251,sell,0.03,2603.9
252,buy,0.03,2616.44
253,sell,0.03,2616.83
254,buy,0.03,2613.53
255,sell,0.03,2616.33
256,buy,0.03,2617.92
257,sell,0.03,2625.85
258,buy,0.03,2652.95
259,sell,0.03,2657.71
260,buy,0.03,2624.77
261,sell,0.03,2651.04
262,buy,0.03,2685.57
263,sell,0.03,2670.26
264,buy,0.03,2665.66
265,sell,0.03,2672.78
266,buy,0.03,2712.12
267,sell,0.03,2714.28
268,buy,0.03,2705.65
269,sell,0.03,2707.95
270,buy,0.03,2765.85
271,sell,0.03,2768.55
272,buy,0.03,2758.07
273,sell,0.03,2744.47
274,buy,0.03,2759.06
275,sell,0.03,2759.47
276,buy,0.03,2807.52
277,sell,0.03,2816.97
278,buy,0.03,2859.36
279,sell,0.03,2919.36
280,buy,0.03,2910.0
281,sell,0.03,2880.0
282,buy,0.03,2918.01
283,sell,0.03,2888.01
284,buy,0.03,2896.98
285,sell,0.03,2902.95
286,buy,0.03,2925.77
287,sell,0.03,2945.48
288,buy,0.03,2924.19
289,sell,0.03,2940.85
290,buy,0.03,2936.21
291,sell,0.03,2906.21
292,buy,0.03,2906.86
293,sell,0.03,2876.86
294,buy,0.03,2909.06
295,sell,0.03,2897.55
296,buy,0.03,2911.65
297,sell,0.03,2916.17
298,buy,0.03,2981.24
299,sell,0.03,2989.67
300,buy,0.03,3026.0
301,sell,0.03,3037.44
302,buy,0.03,3028.38
303,sell,0.03,3038.65
304,buy,0.03,3040.2
305,sell,0.03,3043.19
306,buy,0.03,3035.97
307,sell,0.03,3005.97
308,buy,0.03,3016.73
309,sell,0.03,3015.23
310,buy,0.03,3020.31
311,sell,0.03,3025.14
312,buy,0.03,3119.87
313,sell,0.03,3089.87
314,buy,0.03,3109.37
315,sell,0.03,3079.37
316,buy,0.03,3093.05
317,sell,0.03,3063.05
318,buy,0.03,3220.98
319,sell,0.03,3223.65
320,buy,0.03,3313.89
321,sell,0.03,3335.14
322,buy,0.03,3323.93
323,sell,0.03,3293.93
324,buy,0.03,3281.04
325,sell,0.03,3298.26
326,buy,0.03,3314.5
327,sell,0.03,3328.74
328,buy,0.03,3231.7
329,sell,0.03,3291.7
330,buy,0.03,3379.82
331,sell,0.03,3390.89
332,buy,0.03,3383.18
333,sell,0.03,3395.23
334,buy,0.03,3238.28
335,sell,0.03,3253.23
336,buy,0.03,3243.38
337,sell,0.03,3213.38
338,buy,0.03,3214.54
339,sell,0.03,3184.54
340,buy,0.03,3226.89
341,sell,0.03,3235.82
342,buy,0.03,3311.44
343,sell,0.03,3281.44
344,buy,0.03,3333.96
345,sell,0.03,3352.83
346,buy,0.03,3336.59
347,sell,0.03,3306.59
348,buy,0.03,3301.85
349,sell,0.03,3308.28
350,buy,0.03,3300.43
351,sell,0.03,3307.33
352,buy,0.03,3363.61
353,sell,0.03,3333.61
354,buy,0.03,3353.25
355,sell,0.03,3361.43
356,buy,0.03,3351.01
357,sell,0.03,3366.81
358,buy,0.03,3368.56
359,sell,0.03,3375.26
360,buy,0.03,3313.0
361,sell,0.03,3320.67
362,buy,0.03,3322.63
