Open Time,Order,Symbol,Type,Volume,Price,S/L,T/P,Time,State,Comment
2026.02.25 23:00:00,164,XAUUSDc,buy,38.72 / 38.72,0.00,5072.26,,2026.02.25 23:00:00,filled,systematic-v1 BUY
2026.02.27 15:30:00,165,XAUUSDc,sell,38.72 / 38.72,0.00,,,2026.02.27 15:30:00,filled,
2026.02.27 18:15:00,166,XAUUSDc,buy,41.23 / 41.23,0.00,5174.01,,2026.02.27 18:15:00,filled,systematic-v1 BUY
2026.03.02 01:15:00,167,XAUUSDc,sell,41.23 / 41.23,0.00,,,2026.03.02 01:15:00,filled,
2026.03.02 01:15:00,168,XAUUSDc,buy,44.32 / 44.32,0.00,5267.48,,2026.03.02 01:15:00,filled,systematic-v1 BUY
2026.03.02 18:14:57,169,XAUUSDc,sell,44.32 / 44.32,0.00,,,2026.03.02 18:14:57,filled,sl 5267.48
2026.03.03 08:15:00,170,XAUUSDc,buy,41.43 / 41.43,0.00,5210.31,,2026.03.03 08:15:00,filled,systematic-v1 BUY
2026.03.03 11:30:00,171,XAUUSDc,sell,41.43 / 41.43,0.00,,,2026.03.03 11:30:00,filled,
2026.03.11 09:45:00,172,XAUUSDc,buy,39.81 / 39.81,0.00,5111.77,,2026.03.11 09:45:00,filled,systematic-v1 BUY
2026.03.12 17:14:58,173,XAUUSDc,sell,39.81 / 39.81,0.00,,,2026.03.12 17:14:58,filled,sl 5111.77
